name,type
アイスクリームの容器(プラスチック製),容器包装プラスチック（資源）
アイスクリームの容器(紙製),燃やすごみ
アイスピック,金属・陶器・ガラスごみ
アイロン(プラスチック製),金属・陶器・ガラスごみ
アイロン(金属製),金属・陶器・ガラスごみ
アイロン台,粗大ごみ
空き缶,缶（資源）
空きびん,びん（資源）
アコーディオンカーテン,粗大ごみ
アタッシュケース,粗大ごみ
圧力鍋,金属・陶器・ガラスごみ
油（機械用）,収集できません。
油（食用）,燃やすごみ
雨合羽（あまがっぱ）,燃やすごみ
雨戸,粗大ごみ
編み機(ミシン）,粗大ごみ
アルバム,燃やすごみ
アルミ缶(飲料用・食料用）,缶（資源）
アルミ箔、アルミホイル,金属・陶器・ガラスごみ
安全ピン,金属・陶器・ガラスごみ
アンテナ,粗大ごみ
アンプ,粗大ごみ
イーゼルキャンパス,粗大ごみ
石,収集できません。
衣桁,粗大ごみ
衣装ケース,粗大ごみ
イス・座椅子・応接用イス(ソファー),粗大ごみ
一斗缶,金属・陶器・ガラスごみ
一升瓶,びん（資源）
一升瓶のふた(上が金属、下がプラスチック製),金属・陶器・ガラスごみ
板,粗大ごみ
いちごパック,容器包装プラスチック（資源）
犬小屋,粗大ごみ
糸,燃やすごみ
医療廃棄物,収集できません。
衣類,燃やすごみ
衣類用乾燥機,収集できません。
印鑑,燃やすごみ
インクカートリッジ,インクカートリッジ（資源）
インスタントラーメンのカップ（プラスチック製）,容器包装プラスチック（資源）
インスタントラーメンのカップ（紙製）,燃やすごみ
飲料パック（プラスチック製）,容器包装プラスチック（資源）
飲料パック（紙製）,燃やすごみ
ウィンドサーフボード,粗大ごみ
ウィンドファン,粗大ごみ
ウィンドブレーカー,燃やすごみ
植木鉢(素焼き、陶器製）,金属・陶器・ガラスごみ
植木鉢(プラスチック製）,燃やすごみ
ウエストバッグ,燃やすごみ
ウエストマッサージ機,粗大ごみ
ウォシュレット（簡易便座）,粗大ごみ
薄型テレビ,収集できません。
うちわ,燃やすごみ
ウッドカーペット,粗大ごみ
腕時計(ベルトが金属）,金属・陶器・ガラスごみ
腕時計(ベルトが金属以外）,金属・陶器・ガラスごみ
羽毛ふとん,粗大ごみ
エアコン,収集できません。
映像・音響機器,粗大ごみ
枝(せん定後の枝),燃やすごみ
絵の具,燃やすごみ
絵の具のチューブ(金属製),金属・陶器・ガラスごみ
絵の具のチューブ(プラスチック製),燃やすごみ
MO,燃やすごみ
ＭＤ(ケースも含む),燃やすごみ
ＭＤプレイヤー,金属・陶器・ガラスごみ
エレクトーン,粗大ごみ
エンジンオイル,収集できません。
延長コード,金属・陶器・ガラスごみ
えんぴつ,燃やすごみ
えんぴつ削り（電動・手動）,金属・陶器・ガラスごみ
えんぴつ削り（携帯用）,燃やすごみ
オイル（機械用）,収集できません。
オイル（食用）,燃やすごみ
オイルヒーター,粗大ごみ
OA機器,粗大ごみ
オーブントースター,金属・陶器・ガラスごみ
オーブンレンジ,金属・陶器・ガラスごみ
オーディオ,金属・陶器・ガラスごみ
オートバイ,オートバイ（資源）
お菓子の袋（プラスチック製）,容器包装プラスチック（資源）
お菓子の箱（紙製）,古紙（資源）
置時計,金属・陶器・ガラスごみ
桶,粗大ごみ
おしゃぶり,燃やすごみ
おたま（ステンレス製）,金属・陶器・ガラスごみ
おたま（プラスチック製）,燃やすごみ
落ち葉,燃やすごみ
お手拭き,燃やすごみ
お手拭きの包装フィルム,容器包装プラスチック（資源）
おにぎりの包装フィルム,容器包装プラスチック（資源）
おまる,粗大ごみ
おむつ,燃やすごみ
おもちゃ(プラスチック製),燃やすごみ
おもちゃ(木製),燃やすごみ
おもちゃ(金属製),金属・陶器・ガラスごみ
お椀,燃やすごみ
折り紙,古紙（資源）
オルガン,粗大ごみ
温水器,粗大ごみ
温度計,金属・陶器・ガラスごみ
温風器,粗大ごみ
